field,cf,unit
GPP,8.640000000000001e-05,PgC/yr
HR,8.640000000000001e-05,PgC/yr
AR,8.640000000000001e-05,PgC/yr
NPP,8.640000000000001e-05,PgC/yr
NBP,8.640000000000001e-05,PgC/yr
COL_FIRE_CLOSS,8.640000000000001e-05,PgC/yr
FCTR,3.4559999999999995e-11,TtH2O/yr
FCEV,3.4559999999999995e-11,TtH2O/yr
FGEV,3.4559999999999995e-11,TtH2O/yr
EFLX_LH_TOT,3.4559999999999995e-11,TtH2O/yr
QHR,8.640000000000001e-05,TtH2O/yr
QVEGT,8.640000000000001e-05,TtH2O/yr
QOVER,8.640000000000001e-05,TtH2O/yr
QDRAI,8.640000000000001e-05,TtH2O/yr
FAREA_BURNED,0.0864,1e6km2
TWS,2.7397260273972605e-12,TtH2O
SOILWATER_10CM,2.02514288e-11,mmH2O
TOTVEGC,2.7397260273972605e-12,PgC
TOTSOMC_1m,2.7397260273972605e-12,PgC
SNOWDP,2.02514288e-11,m
TV,2.02514288e-11,K
TSOI_10CM,2.02514288e-11,K
TLAI,2.02514288e-11,m^2/m^2
FSR,2.02514288e-11,W/m^2
FSH,2.02514288e-11,W/m^2
ALTMAX,7.684832124073767e-08,m
NEE,8.640000000000001e-05,PgC/yr
FSDS,2.02514288e-11,W/m^2
TBOT,2.02514288e-11,K
